axon,644335223.8769324
haitian,644562746.2769597
intellectuals,646230188.9337506
ibm,647777530.8413234
detective,649387851.9379834
calorie,651080310.0474786
sulphuret,651082320.4468625
yeats,651205508.2965589
institutional,651911723.4433656
treatments,651920785.5290757
gatt,653096609.8615203
protoxide,655378844.4364187
dominated,655579967.2520703
radio,658590531.2045922
kipling,661438333.1485093
deleted,662429954.8918847
lethal,662824464.8964854
trailer,663346597.7684028
tsar,663613235.5105351
catalog,664683250.5553921
downstairs,665192920.0649613
cultural,666013064.3630382
boost,666682492.717013
humans,670295987.7735091
underwater,674894365.3855351
fao,677858773.687799
asset,678514512.1461631
acuity,679610983.6184211
atm,681124145.8899055
afro,681166129.3285792
concept,682228824.3776685
presumably,683403839.1175469
postal,686099440.1750096
heroin,689142147.4145195
regional,689629560.3167093
users,692007029.8185031
potassa,692730478.412496
kurt,694051960.8608758
familial,694334487.5720007
edn,697736125.2105266
slogan,703135798.4251478
alternatively,704842360.2982612
makeup,705855022.3215402
someone,707350177.991581
folder,708814737.4422156
billion,711293332.125736
consultant,712485003.6260585
adolescent,712898435.1514999
canned,720769385.1304752
focuses,721489308.0715404
bloc,722315264.6899155
referendum,722496473.8431638
depressive,725354183.4884982
thirties,728074438.9344406
argentina,731545428.6540761
findings,732347108.7869897
involvement,735370954.1528797
laser,739140615.8224145
continuum,740963706.8174915
fcp,741164697.3542516
mentality,741852209.595556
subset,741998515.5267298
survival,742817253.370859
imf,749322395.896393
seventies,755133255.4372469
planners,757438507.2082258
documented,757511360.8741256
rca,770760308.845556
deformation,776121663.6682456
elites,778526925.0325265
jeep,784760955.0267298
psi,785366071.835066
staged,790557774.4592379
container,791347696.8003312
appl,795118432.0988221
earners,817027939.6633695
grid,823310513.5188634
spacing,824847155.9404212
norms,836055656.9606643
livestock,837907403.524798
korea,839345835.4540855
buses,847181501.231689
hispanic,850748997.9672894
exploitation,861626405.6768029
skills,861840163.5317904
mev,864443940.5588429
homeland,869675292.6797016
seattle,874315676.516884
coding,883863760.7465036
intake,928978112.610875
processed,929452921.1927215
minimal,930848670.3407708
rna,939028106.3801066
radium,964366421.3779432
proton,970132324.1082997
technique,1011285420.010351
electron,1064561953.4625969
immune,1076733727.374126
amino,1154721703.088287
hitler,1210221783.0194144
